13,7,,,,,,,,,,,,,B-maj,Cmaj,Fmaj,Cmaj,B-maj,Cmaj,Fmaj,0.961236604722876,#,_FmajCmajB-majCmajFmajCmajB-maj
14,8,,,,,,,,,,,,B-maj,Cmin,A-maj,B-maj,Cmin,B-maj,A-maj,Cmin,1.950212064914747,##,_CminA-majB-majCminB-majA-majCminB-maj
10,10,,,,,,,,,,B-maj,Cmin,B-maj,A-maj,B-maj,Cmin,B-maj,A-maj,B-maj,Cmin,0.9219280948873623,#,_CminB-majA-majB-majCminB-majA-majB-majCminB-maj
12,8,,,,,,,,,,,,B-maj,Cmin,B-maj,A-maj7,B-maj,Cmin7,B-maj,A-maj7,0.9182958340544896,####,_A-maj7B-majCmin7B-majA-maj7B-majCminB-maj
127,7,,,,,,,,,,,,,B-maj,Cmin,B-maj,Cmin,B-maj,Cmin,B-maj,1.1619673991262085,#,_B-majCminB-majCminB-majCminB-maj
10,6,,,,,,,,,,,,,,B-maj,Cmin,Fmin,A-maj,B-maj,Cmin,1.1567796494470395,##,_CminB-majA-majFminCminB-maj
12,5,,,,,,,,,,,,,,,B-maj,Cmin,Fmin,B-maj,Cmin,1.5,#,_CminB-majFminCminB-maj
13,7,,,,,,,,,,,,,B-maj,Cmin,Gmin7,Fmin7,A-maj7,A-maj,B-maj,1.352030101757953,###,_B-majA-majA-maj7Fmin7Gmin7CminB-maj
32,9,,,,,,,,,,,B-maj,Cmin7,Gmin7,A-maj,B-maj,Cmin7,Gmin7,A-maj,B-maj,0.9933927290103626,####,_B-majA-majGmin7Cmin7B-majA-majGmin7Cmin7B-maj
26,13,,,,,,,B-maj,Cmin7,Gmin7,A-maj,B-maj,Cmin7,Gmin7,A-maj,B-maj,Cmin7,Gmin7,A-maj,B-maj,1.1451104143815827,###,_B-majA-majGmin7Cmin7B-majA-majGmin7Cmin7B-majA-majGmin7Cmin7B-maj
20,17,,,B-maj,Cmin7,Gmin7,A-maj,B-maj,Cmin7,Gmin7,A-maj,B-maj,Cmin7,Gmin7,A-maj,B-maj,Cmin7,Gmin7,A-maj,B-maj,0.9219280948873623,###,_B-majA-majGmin7Cmin7B-majA-majGmin7Cmin7B-majA-majGmin7Cmin7B-majA-majGmin7Cmin7B-maj
14,5,,,,,,,,,,,,,,,B-maj,Cno3,E-maj,B-maj,Cno3,1.2638091738835462,#,_Cno3B-majE-majCno3B-maj
15,5,,,,,,,,,,,,,,,B-maj,E-maj,Fmaj,B-maj,E-maj,1.0389205950315936,#,_E-majB-majFmajE-majB-maj
12,8,,,,,,,,,,,,B-maj,E-maj,Fmaj,B-maj,E-maj,Fmaj,B-maj,E-maj,1.207518749639422,##,_E-majB-majFmajE-majB-majFmajE-majB-maj
12,6,,,,,,,,,,,,,,B-maj,Fmaj,Amin,Emaj,Cmaj,Gmaj,1.0,##,_GmajCmajEmajAminFmajB-maj
16,6,,,,,,,,,,,,,,B-maj,Fmaj,B-maj,Fmaj,B-maj,Fmaj,1.8050365325772657,#,_FmajB-majFmajB-majFmajB-maj
10,8,,,,,,,,,,,,B-maj,Fmaj,B-maj,Fmaj,Cmaj,B-maj,Fmaj,Cmaj,0.9709505944546686,#,_CmajFmajB-majCmajFmajB-majFmajB-maj
10,14,,,,,,B-maj,Fmaj,Cmaj,E-maj,B-maj,Fmaj,Cmaj,E-maj,B-maj,Fmaj,Cmaj,E-maj,B-maj,Fmaj,0.9219280948873623,#######,_FmajB-majE-majCmajFmajB-majE-majCmajFmajB-majE-majCmajFmajB-maj
10,8,,,,,,,,,,,,B-maj,Fmaj,Cmaj,Fmaj,Amin,Dmin,Fmaj,Cmaj,0.9709505944546686,##,_CmajFmajDminAminFmajCmajFmajB-maj
20,6,,,,,,,,,,,,,,B-maj,Fmaj,Cmaj,Gmaj,B-maj,Fmaj,1.9219280948873623,#,_FmajB-majGmajCmajFmajB-maj
10,6,,,,,,,,,,,,,,B-maj,Fmaj,Gmaj,B-maj,Fmaj,Gmaj,1.295461844238322,##,_GmajFmajB-majGmajFmajB-maj
10,7,,,,,,,,,,,,,B-maj,Fmaj,Gmaj,Cmaj,Fmaj,Gmaj,Cmaj,1.5219280948873621,#,_CmajGmajFmajCmajGmajFmajB-maj
11,5,,,,,,,,,,,,,,,B-maj,Fmaj,Gmaj,Fmaj,Gmaj,1.3221793455166668,#,_GmajFmajGmajFmajB-maj
21,4,,,,,,,,,,,,,,,,B-maj,Fmin7,A-maj7,B-maj,1.867576946176195,#,_B-majA-maj7Fmin7B-maj
12,7,,,,,,,,,,,,,B-maj,Fmin7,A-maj7,B-maj,Fmin7,A-maj7,B-maj,1.780672129520887,##,_B-majA-maj7Fmin7B-majA-maj7Fmin7B-maj
19,7,,,,,,,,,,,,,B-maj,Fmin7,Gmin7,Cmin7,B-maj,Fmin7,Gmin7,1.2674438038072338,###,_Gmin7Fmin7B-majCmin7Gmin7Fmin7B-maj
12,11,,,,,,,,,B-maj,Fmin7,Gmin7,Cmin7,B-maj,Fmin7,Gmin7,Cmin7,B-maj,Fmin7,Gmin7,1.4833557549816874,###,_Gmin7Fmin7B-majCmin7Gmin7Fmin7B-majCmin7Gmin7Fmin7B-maj
20,3,,,,,,,,,,,,,,,,,B-maj,Fsus4,B-maj,1.5709505944546687,#,_B-majFsus4B-maj
12,7,,,,,,,,,,,,,B-maj,Fsus4,B-maj,A-maj6,Fmin7,Dhdim,G7,1.0408520829727552,###,_G7DhdimFmin7A-maj6B-majFsus4B-maj
23,7,,,,,,,,,,,,,B-maj,G7,Cmaj,Fmaj,B-maj,G7,Cmaj,1.3249692858267146,##,_CmajG7B-majFmajCmajG7B-maj
10,7,,,,,,,,,,,,,B-maj,Gmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,1.1567796494470395,##,_CmajFmajCmajFmajCmajGmajB-maj
12,7,,,,,,,,,,,,,B-maj,Gmin,Cmaj,Amin7,B-maj,Gmin,Cmaj,0.9182958340544896,###,_CmajGminB-majAmin7CmajGminB-maj
12,7,,,,,,,,,,,,,B-maj,Gmin,Cmaj,Fmaj,B-maj,Gmin,Cmaj,1.4591479170272448,###,_CmajGminB-majFmajCmajGminB-maj
12,7,,,,,,,,,,,,,B-maj6,A-maj7,B-maj6,A-maj7,B-maj6,A-maj7,B-maj6,1.2516291673878228,#,_B-maj6A-maj7B-maj6A-maj7B-maj6A-maj7B-maj6
16,5,,,,,,,,,,,,,,,B-min7,E-7,A-maj7,B-min7,E-7,0.9544340029249649,#,_E-7B-min7A-maj7E-7B-min7
18,5,,,,,,,,,,,,,,,B-min7,E-maj,A-maj,B-min7,E-maj,0.9182958340544896,##,_E-majB-min7A-majE-majB-min7
12,8,,,,,,,,,,,,B-min7,E-maj,A-maj,B-min7,E-maj,A-maj,B-min7,E-maj,1.0,##,_E-majB-min7A-majE-majB-min7A-majE-majB-min7
24,5,,,,,,,,,,,,,,,B-no3,Cno3,Dno3,B-no3,Cno3,0.9182958340544896,##,_Cno3B-no3Dno3Cno3B-no3
16,8,,,,,,,,,,,,B-no3,Cno3,Dno3,B-no3,Cno3,Dno3,B-no3,Cno3,1.0,##,_Cno3B-no3Dno3Cno3B-no3Dno3Cno3B-no3
11,6,,,,,,,,,,,,,,B-no3,Fno3,Cno3,B-no3,Fno3,Cno3,1.2406705316766886,#,_Cno3Fno3B-no3Cno3Fno3B-no3
30,4,,,,,,,,,,,,,,,,B-sus4,Cno3,B-sus4,Cno3,1.1589385323502772,#,_Cno3B-sus4Cno3B-sus4
20,6,,,,,,,,,,,,,,B-sus4,Cno3,B-sus4,Cno3,B-sus4,Cno3,0.9219280948873623,#,_Cno3B-sus4Cno3B-sus4Cno3B-sus4
16,8,,,,,,,,,,,,B-sus4,Cno3,B-sus4,Cno3,B-sus4,Cno3,B-sus4,Cno3,1.061278124459133,#,_Cno3B-sus4Cno3B-sus4Cno3B-sus4Cno3B-sus4
52,4,,,,,,,,,,,,,,,,Bmaj,F#maj,Bmaj,F#maj,1.5852967004606704,#,_F#majBmajF#majBmaj
20,6,,,,,,,,,,,,,,Bmaj,F#maj,Bmaj,F#maj,Bmaj,F#maj,0.9219280948873623,#,_F#majBmajF#majBmajF#majBmaj
16,11,,,,,,,,,Bmaj,F#maj,Bmaj,F#maj,Bmaj,F#maj,G#min7,Bmaj,F#maj,Bmaj,F#maj,1.2987949406953985,####,_F#majBmajF#majBmajG#min7F#majBmajF#majBmajF#majBmaj
24,9,,,,,,,,,,,Bmaj,F#maj,Bmaj,F#maj,G#min7,Bmaj,F#maj,Bmaj,F#maj,1.0408520829727552,####,_F#majBmajF#majBmajG#min7F#majBmajF#majBmaj
16,16,,,,Bmaj,F#maj,Bmaj,F#maj,G#min7,Bmaj,F#maj,Bmaj,F#maj,Bmaj,F#maj,G#min7,Bmaj,F#maj,Bmaj,F#maj,1.2987949406953985,######,_F#majBmajF#majBmajG#min7F#majBmajF#majBmajF#majBmajG#min7F#majBmajF#majBmaj
24,7,,,,,,,,,,,,,Bmaj,F#maj,G#min7,Bmaj,F#maj,Bmaj,F#maj,1.0408520829727552,####,_F#majBmajF#majBmajG#min7F#majBmaj
16,14,,,,,,Bmaj,F#maj,G#min7,Bmaj,F#maj,Bmaj,F#maj,Bmaj,F#maj,G#min7,Bmaj,F#maj,Bmaj,F#maj,1.2987949406953985,######,_F#majBmajF#majBmajG#min7F#majBmajF#majBmajF#majBmajG#min7F#majBmaj
10,7,,,,,,,,,,,,,Bmin7,Amin7,Bmin7,Emin7,Cmaj7,Bmin7,Amin7,1.0,###,_Amin7Bmin7Cmaj7Emin7Bmin7Amin7Bmin7
15,4,,,,,,,,,,,,,,,,Bmin7,E7,Amin7,D7,1.272905595320056,#,_D7Amin7E7Bmin7
10,5,,,,,,,,,,,,,,,Bmin7,Emin7,Cmaj7,Bmin7,Amin7,1.0,##,_Amin7Bmin7Cmaj7Emin7Bmin7
14,5,,,,,,,,,,,,,,,C7,Cmaj,C7,Cmaj,C7,1.689391746743088,#,_C7CmajC7CmajC7
10,8,,,,,,,,,,,,C7,Cmaj6,A-maj,Cmaj,C7,Cmaj6,A-maj,Cmaj,0.9219280948873623,####,_CmajA-majCmaj6C7CmajA-majCmaj6C7
99,5,,,,,,,,,,,,,,,C7,F7,C7,F7,C7,1.595902062689475,#,_C7F7C7F7C7
63,7,,,,,,,,,,,,,C7,F7,C7,F7,C7,F7,C7,0.9389927736965855,#,_C7F7C7F7C7F7C7
71,6,,,,,,,,,,,,,,C7,F7,C7,G7,F7,C7,1.0865843131922424,#,_C7F7G7C7F7C7
40,11,,,,,,,,,C7,F7,C7,G7,F7,C7,F7,C7,G7,F7,C7,1.265492538086959,##,_C7F7G7C7F7C7F7G7C7F7C7
25,16,,,,C7,F7,C7,G7,F7,C7,F7,C7,G7,F7,C7,F7,C7,G7,F7,C7,1.2177968115985955,####,_C7F7G7C7F7C7F7G7C7F7C7F7G7C7F7C7
53,4,,,,,,,,,,,,,,,,C7,Fmaj,C7,Fmaj,1.2912829771672578,#,_FmajC7FmajC7
37,6,,,,,,,,,,,,,,C7,Fmaj,C7,Fmaj,C7,Fmaj,0.9826635314930976,#,_FmajC7FmajC7FmajC7
29,8,,,,,,,,,,,,C7,Fmaj,C7,Fmaj,C7,Fmaj,C7,Fmaj,0.9944663403237344,#,_FmajC7FmajC7FmajC7FmajC7
23,10,,,,,,,,,,C7,Fmaj,C7,Fmaj,C7,Fmaj,C7,Fmaj,C7,Fmaj,1.1545676820893707,#,_FmajC7FmajC7FmajC7FmajC7FmajC7
17,12,,,,,,,,C7,Fmaj,C7,Fmaj,C7,Fmaj,C7,Fmaj,C7,Fmaj,C7,Fmaj,1.3784188527203236,#,_FmajC7FmajC7FmajC7FmajC7FmajC7FmajC7
11,14,,,,,,C7,Fmaj,C7,Fmaj,C7,Fmaj,C7,Fmaj,C7,Fmaj,C7,Fmaj,C7,Fmaj,1.4911148500551858,#,_FmajC7FmajC7FmajC7FmajC7FmajC7FmajC7FmajC7
18,6,,,,,,,,,,,,,,C7,Fmaj,Cmaj,C7,Fmaj,Cmaj,1.9693894195291564,##,_CmajFmajC7CmajFmajC7
55,5,,,,,,,,,,,,,,,C7,Fmaj,Cmaj,G7,Cmaj,2.3370137979902617,#,_CmajG7CmajFmajC7
11,7,,,,,,,,,,,,,C7,Fmaj,Cmaj,G7,Cmaj,C7,Fmaj,1.0957952550009338,#,_FmajC7CmajG7CmajFmajC7
21,7,,,,,,,,,,,,,C7,Fmaj,Cmaj,G7,Cmaj,G7,Cmaj,2.2125823032160294,#,_CmajG7CmajG7CmajFmajC7
11,7,,,,,,,,,,,,,C7,Fmaj,Gmaj,Cmaj,Fmaj,Gmaj,Cmaj,1.0957952550009338,#,_CmajGmajFmajCmajGmajFmajC7
12,5,,,,,,,,,,,,,,,C7,Fmaj,Gmaj,G7,Cmaj,1.0,#,_CmajG7GmajFmajC7
34,4,,,,,,,,,,,,,,,,C7,Fmaj7,Fmin7,Cmaj,0.9975025463691153,#,_CmajFmin7Fmaj7C7
16,10,,,,,,,,,,C7,Fmaj7,Fmin7,Cmaj,Gmin,C7,Fmaj7,Fmin7,Cmaj,Amin7,1.0,#####,_Amin7CmajFmin7Fmaj7C7GminCmajFmin7Fmaj7C7
11,7,,,,,,,,,,,,,C7,G7,C7,F7,C7,F7,C7,1.7899290753099992,#,_C7F7C7F7C7G7C7
43,9,,,,,,,,,,,C7,G7,F7,C7,F7,C7,G7,F7,C7,1.211577078506834,##,_C7F7G7C7F7C7F7G7C7
28,14,,,,,,C7,G7,F7,C7,F7,C7,G7,F7,C7,F7,C7,G7,F7,C7,1.454024912849659,####,_C7F7G7C7F7C7F7G7C7F7C7F7G7C7
16,19,C7,G7,F7,C7,F7,C7,G7,F7,C7,F7,C7,G7,F7,C7,F7,C7,G7,F7,C7,1.198192411043098,####,_C7F7G7C7F7C7F7G7C7F7C7F7G7C7F7C7F7G7C7
10,5,,,,,,,,,,,,,,,Cmaj,A-maj,E-maj,B-maj,Cmaj,1.4854752972273344,#,_CmajB-majE-majA-majCmaj
27,5,,,,,,,,,,,,,,,Cmaj,A7,D7,G7,Cmaj,1.9121138909722288,#,_CmajG7D7A7Cmaj
15,9,,,,,,,,,,,Cmaj,A7,D7,G7,Cmaj,A7,D7,G7,Cmaj,1.7464657985040721,###,_CmajG7D7A7CmajG7D7A7Cmaj
13,5,,,,,,,,,,,,,,,Cmaj,Amaj,Cmaj,Amaj,Cmaj,0.9912642605354289,#,_CmajAmajCmajAmajCmaj
12,14,,,,,,Cmaj,Amaj,Dmin,Cmaj,Dmin,Ddim7,Fdim7,Cmaj,Emin,Dmin,Fmin,Cmaj,Amaj,Dmin,1.4591479170272448,#########,_DminAmajCmajFminDminEminCmajFdim7Ddim7DminCmajDminAmajCmaj
12,6,,,,,,,,,,,,,,Cmaj,Amaj,Fmaj,Gmaj,Fmaj,Gmaj,1.0,#,_GmajFmajGmajFmajAmajCmaj
108,8,,,,,,,,,,,,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,1.221554730717387,#,_AminCmajAminCmajAminCmajAminCmaj
80,10,,,,,,,,,,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,1.0733127549225272,#,_AminCmajAminCmajAminCmajAminCmajAminCmaj
61,12,,,,,,,,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,1.2380473172784794,#,_AminCmajAminCmajAminCmajAminCmajAminCmajAminCmaj
44,14,,,,,,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,1.110834696384756,#,_AminCmajAminCmajAminCmajAminCmajAminCmajAminCmajAminCmaj
34,16,,,,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,1.092725395776657,#,_AminCmajAminCmajAminCmajAminCmajAminCmajAminCmajAminCmajAminCmaj
13,9,,,,,,,,,,,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Fmaj,Gmaj,Cmaj,1.3520301017579528,#,_CmajGmajFmajAminCmajAminCmajAminCmaj
23,7,,,,,,,,,,,,,Cmaj,Amin,Cmaj,Amin,Fmaj,Gmaj,Cmaj,1.3284807255676316,#,_CmajGmajFmajAminCmajAminCmaj
11,10,,,,,,,,,,Cmaj,Amin,Cmaj,Amin,Fmaj,Gmaj,Cmaj,Amin,Cmaj,Amin,1.823067982273661,#,_AminCmajAminCmajGmajFmajAminCmajAminCmaj
24,9,,,,,,,,,,,Cmaj,Amin,Dmin,Gmaj,Cmaj,Amin,Dmin,Gmaj,Cmaj,1.9657706741379202,##,_CmajGmajDminAminCmajGmajDminAminCmaj
10,12,,,,,,,,Cmaj,Amin,Dmin,Gmaj,Cmaj,Amin,Dmin,Gmaj,Cmaj,Amin,Dmin,Gmaj,1.1567796494470395,#,_GmajDminAminCmajGmajDminAminCmajGmajDminAminCmaj
27,14,,,,,,Cmaj,Amin,Dmin7,Gmaj,Cmaj,Amin,Dmin7,Gmaj,Cmaj,Amin,Dmin7,Gmaj,Cmaj,Amin,0.9451696091196164,########,_AminCmajGmajDmin7AminCmajGmajDmin7AminCmajGmajDmin7AminCmaj
14,7,,,,,,,,,,,,,Cmaj,Amin,Emaj,Amin,Cmaj,Gmaj,Cmaj,1.4299111709758698,###,_CmajGmajCmajAminEmajAminCmaj
18,7,,,,,,,,,,,,,Cmaj,Amin,Fmaj,Cmaj,Amin,Cmaj,Amin,0.9864267287308424,#,_AminCmajAminCmajFmajAminCmaj
25,8,,,,,,,,,,,,Cmaj,Amin,Fmaj,Cmaj,Amin,Fmaj,Cmaj,Amin,1.4056780552463373,#,_AminCmajFmajAminCmajFmajAminCmaj
10,6,,,,,,,,,,,,,,Cmaj,Amin,Fmaj,Csus4,Cmaj,Amin,1.0,##,_AminCmajCsus4FmajAminCmaj
39,7,,,,,,,,,,,,,Cmaj,Amin,Fmaj,Dmin,Gsus4,Cmaj,Amin,1.1401156785146092,##,_AminCmajGsus4DminFmajAminCmaj
27,12,,,,,,,,Cmaj,Amin,Fmaj,Dmin,Gsus4,Cmaj,Amin,Fmaj,Dmin,Gsus4,Cmaj,Amin,1.3516441151533922,####,_AminCmajGsus4DminFmajAminCmajGsus4DminFmajAminCmaj
15,17,,,Cmaj,Amin,Fmaj,Dmin,Gsus4,Cmaj,Amin,Fmaj,Dmin,Gsus4,Cmaj,Amin,Fmaj,Dmin,Gsus4,Cmaj,Amin,1.3709505944546687,####,_AminCmajGsus4DminFmajAminCmajGsus4DminFmajAminCmajGsus4DminFmajAminCmaj
19,8,,,,,,,,,,,,Cmaj,Amin,Fmaj,G7,Cmaj,Amin,Fmaj,G7,1.0214554656116668,##,_G7FmajAminCmajG7FmajAminCmaj
11,8,,,,,,,,,,,,Cmaj,Amin,Fmaj,Gmaj,Cmaj,Amin,Cmaj,Amin,1.823067982273661,#,_AminCmajAminCmajGmajFmajAminCmaj
177,8,,,,,,,,,,,,Cmaj,Amin,Fmaj,Gmaj,Cmaj,Amin,Fmaj,Gmaj,0.9907026385752387,#,_GmajFmajAminCmajGmajFmajAminCmaj
132,12,,,,,,,,Cmaj,Amin,Fmaj,Gmaj,Cmaj,Amin,Fmaj,Gmaj,Cmaj,Amin,Fmaj,Gmaj,0.9688568287659347,###,_GmajFmajAminCmajGmajFmajAminCmajGmajFmajAminCmaj
12,8,,,,,,,,,,,,Cmaj,Amin,Fmaj,Gmaj,Cmaj,Amin,Gmaj,Cmaj,0.9182958340544896,#,_CmajGmajAminCmajGmajFmajAminCmaj
11,6,,,,,,,,,,,,,,Cmaj,Amin,Fmaj7,Gmaj,Emin,Gmaj,1.2406705316766886,#,_GmajEminGmajFmaj7AminCmaj
20,5,,,,,,,,,,,,,,,Cmaj,Amin,Fmin,Gmaj,Cmaj,0.9219280948873623,#,_CmajGmajFminAminCmaj
12,9,,,,,,,,,,,Cmaj,Amin7,B-maj,Gmin,Cmaj,Amin7,B-maj,Gmin,Cmaj,0.9182958340544896,#####,_CmajGminB-majAmin7CmajGminB-majAmin7Cmaj
16,4,,,,,,,,,,,,,,,,Cmaj,Amin7,Dmin,Gsus4,1.6774212838293643,#,_Gsus4DminAmin7Cmaj
16,14,,,,,,Cmaj,Amin7,Fmaj7,Amin7,C7,Fmaj7,Fmin7,Cmaj,Gmin,C7,Fmaj7,Fmin7,Cmaj,Amin7,1.0,#########,_Amin7CmajFmin7Fmaj7C7GminCmajFmin7Fmaj7C7Amin7Fmaj7Amin7Cmaj
10,8,,,,,,,,,,,,Cmaj,Amin7,Fmaj7,Emin7,Cmaj,Amin7,Fmaj7,Emin7,1.295461844238322,###,_Emin7Fmaj7Amin7CmajEmin7Fmaj7Amin7Cmaj
36,7,,,,,,,,,,,,,Cmaj,Amin7,Fmaj7,G7,Fmaj7,Cmaj,Gmaj,1.188721875540867,###,_GmajCmajFmaj7G7Fmaj7Amin7Cmaj
24,15,,,,,Cmaj,Amin7,Fmaj7,G7,Fmaj7,Cmaj,Gmaj,Fmaj,Cmaj,Amin7,Fmaj7,G7,Fmaj7,Cmaj,Gmaj,1.4056390622295662,#######,_GmajCmajFmaj7G7Fmaj7Amin7CmajFmajGmajCmajFmaj7G7Fmaj7Amin7Cmaj
10,7,,,,,,,,,,,,,Cmaj,B-maj,Cmaj,B-maj,Fmaj,Cmaj,B-maj,0.9709505944546686,#,_B-majCmajFmajB-majCmajB-majCmaj
13,8,,,,,,,,,,,,Cmaj,B-maj,Cmaj,Fmaj,Cmaj,B-maj,Cmaj,Fmaj,0.961236604722876,#,_FmajCmajB-majCmajFmajCmajB-majCmaj
12,7,,,,,,,,,,,,,Cmaj,B-maj,Fmaj,Cmaj,Gmaj,B-maj,Fmaj,1.584962500721156,#,_FmajB-majGmajCmajFmajB-majCmaj
14,6,,,,,,,,,,,,,,Cmaj,C7,Cmaj,C7,Cmaj,C7,1.689391746743088,#,_C7CmajC7CmajC7Cmaj
10,9,,,,,,,,,,,Cmaj,C7,Cmaj6,A-maj,Cmaj,C7,Cmaj6,A-maj,Cmaj,0.9219280948873623,####,_CmajA-majCmaj6C7CmajA-majCmaj6C7Cmaj
12,5,,,,,,,,,,,,,,,Cmaj,C7,F7,G7,Cmaj,1.3250112108241772,#,_CmajG7F7C7Cmaj
18,7,,,,,,,,,,,,,Cmaj,C7,Fmaj,Cmaj,C7,Fmaj,Cmaj,1.9693894195291564,##,_CmajFmajC7CmajFmajC7Cmaj
48,6,,,,,,,,,,,,,,Cmaj,C7,Fmaj,Cmaj,G7,Cmaj,2.290300122446974,#,_CmajG7CmajFmajC7Cmaj
10,8,,,,,,,,,,,,Cmaj,C7,Fmaj,Cmaj,G7,Cmaj,C7,Fmaj,1.1567796494470395,#,_FmajC7CmajG7CmajFmajC7Cmaj
20,8,,,,,,,,,,,,Cmaj,C7,Fmaj,Cmaj,G7,Cmaj,G7,Cmaj,2.228212945841001,#,_CmajG7CmajG7CmajFmajC7Cmaj
12,6,,,,,,,,,,,,,,Cmaj,C7,Fmaj,Gmaj,G7,Cmaj,1.0,#,_CmajG7GmajFmajC7Cmaj
17,8,,,,,,,,,,,,Cmaj,Cmaj6,Cmaj7,Cmaj6,Cmaj,Cmaj6,Cmaj7,Cmaj6,1.496065911543853,###,_Cmaj6Cmaj7Cmaj6CmajCmaj6Cmaj7Cmaj6Cmaj
11,12,,,,,,,,Cmaj,Cmaj6,Cmaj7,Cmaj6,Cmaj,Cmaj6,Cmaj7,Cmaj6,Cmaj,Cmaj6,Cmaj7,Cmaj6,1.6858157091530304,###,_Cmaj6Cmaj7Cmaj6CmajCmaj6Cmaj7Cmaj6CmajCmaj6Cmaj7Cmaj6Cmaj
10,8,,,,,,,,,,,,Cmaj,Cmaj7,Amin7,Cmaj,Cmaj7,Cmaj,Cmaj7,Amin7,0.9709505944546686,####,_Amin7Cmaj7CmajCmaj7CmajAmin7Cmaj7Cmaj
27,7,,,,,,,,,,,,,Cmaj,Cmaj7,Amin7,Gsus4,Gmaj,B-maj7,Bhdim,0.9182958340544896,###,_BhdimB-maj7GmajGsus4Amin7Cmaj7Cmaj
15,4,,,,,,,,,,,,,,,,Cmaj,Cmaj7,C7,Fmaj,1.532914563979398,#,_FmajC7Cmaj7Cmaj
10,10,,,,,,,,,,Cmaj,Cmaj7,Cmaj,Cmaj7,Amin7,Cmaj,Cmaj7,Cmaj,Cmaj7,Amin7,0.9709505944546686,####,_Amin7Cmaj7CmajCmaj7CmajAmin7Cmaj7CmajCmaj7Cmaj
23,4,,,,,,,,,,,,,,,,Cmaj,Cmaj7,Csus4,Cmaj,1.208830175294948,#,_CmajCsus4Cmaj7Cmaj
24,5,,,,,,,,,,,,,,,Cmaj,Cmaj7,Gsus4,C7,Fmaj,1.0,##,_FmajC7Gsus4Cmaj7Cmaj
12,7,,,,,,,,,,,,,Cmaj,Cmaj7,Gsus4,C7,Fmaj,Gsus4,Cmaj,1.0,#,_CmajGsus4FmajC7Gsus4Cmaj7Cmaj
23,9,,,,,,,,,,,Cmaj,Cmin,Gmin,Fmaj,Cmaj,Cmin,Gmin,Fmaj,Cmaj,0.9123163027543337,#####,_CmajFmajGminCminCmajFmajGminCminCmaj
18,13,,,,,,,Cmaj,Cmin,Gmin,Fmaj,Cmaj,Cmin,Gmin,Fmaj,Cmaj,Cmin,Gmin,Fmaj,Cmaj,1.0529407605626349,###,_CmajFmajGminCminCmajFmajGminCminCmajFmajGminCminCmaj
13,17,,,Cmaj,Cmin,Gmin,Fmaj,Cmaj,Cmin,Gmin,Fmaj,Cmaj,Cmin,Gmin,Fmaj,Cmaj,Cmin,Gmin,Fmaj,Cmaj,1.2389012566026307,###,_CmajFmajGminCminCmajFmajGminCminCmajFmajGminCminCmajFmajGminCminCmaj
20,6,,,,,,,,,,,,,,Cmaj,Cmin7,Dmin,Cmaj,Cmin7,Dmin,1.6477309221191607,##,_DminCmin7CmajDminCmin7Cmaj
10,9,,,,,,,,,,,Cmaj,Cmin7,Dmin,Cmaj,Cmin7,Dmin,Cmaj,Cmin7,Dmin,1.1567796494470395,##,_DminCmin7CmajDminCmin7CmajDminCmin7Cmaj
11,10,,,,,,,,,,Cmaj,Csus4,Cmaj,C7,Fmaj,Cmaj,G7,Cmaj,G7,Cmaj,1.4353713907745331,#####,_CmajG7CmajG7CmajFmajC7CmajCsus4Cmaj
154,5,,,,,,,,,,,,,,,Cmaj,Csus4,Cmaj,Csus4,Cmaj,0.9802626039299258,#,_CmajCsus4CmajCsus4Cmaj
10,5,,,,,,,,,,,,,,,Cmaj,Csus4,Cmaj,Fsus4,Fmaj,1.5219280948873621,#,_FmajFsus4CmajCsus4Cmaj
29,12,,,,,,,,Cmaj,Dmaj,Cmaj,Dmaj,Cmaj,Dmaj,Cmaj,Dmaj,Cmaj,Dmaj,Cmaj,Dmaj,0.9255982359100636,###,_DmajCmajDmajCmajDmajCmajDmajCmajDmajCmajDmajCmaj
24,14,,,,,,Cmaj,Dmaj,Cmaj,Dmaj,Cmaj,Dmaj,Cmaj,Dmaj,Cmaj,Dmaj,Cmaj,Dmaj,Cmaj,Dmaj,1.0553532192449844,#,_DmajCmajDmajCmajDmajCmajDmajCmajDmajCmajDmajCmajDmajCmaj
19,16,,,,Cmaj,Dmaj,Cmaj,Dmaj,Cmaj,Dmaj,Cmaj,Dmaj,Cmaj,Dmaj,Cmaj,Dmaj,Cmaj,Dmaj,Cmaj,Dmaj,1.2319817814011405,#,_DmajCmajDmajCmajDmajCmajDmajCmajDmajCmajDmajCmajDmajCmajDmajCmaj
